pinotUpdatedTs,orderId,taskId,imageUrl,originalUrl,imageDecision,isHumanFaceDetected,reviewAiCorrect,reviewConfusionMatrix,reviewComments
6/18/2026,2.00015E+14,e429acfb-6fc7-4e94-b1f1-9ff1accdbb9f,http://images.delivery.walmart.com/949f4e21-ee34-4735-9055-d2486e4823a9.jpeg,http://images.delivery.walmart.com/324f91ce-c4a5-4147-bfec-85966acb2333.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,fdbc763a-2988-4855-8ed1-1a69afcaf00b,http://images.delivery.walmart.com/32947c60-6f7a-47c0-a9db-f7a7f8f305b5.jpeg,http://images.delivery.walmart.com/b8b3881d-e6fb-45aa-ae5e-077945d4b152.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,f44a1291-0364-4ca6-3756-1893eea26d2b,http://images.delivery.walmart.com/a92fc970-d688-4875-8bf6-9a9355f19511.jpeg,http://images.delivery.walmart.com/d4fb2d1b-07bb-4cef-a36e-b6b8a41a6866.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,414b9bd5-4c19-43c9-8d6d-645b86a547b5,http://images.delivery.walmart.com/8e6be2ad-eb31-4170-a89e-ed9b548318d6.jpeg,http://images.delivery.walmart.com/aa27aabe-7c00-468a-a497-809618f6efda.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,87a53474-8c1b-4185-b6a0-19def1c1ab51,http://images.delivery.walmart.com/47ab960d-03cf-4d1c-a279-8f9c1a860455.jpeg,http://images.delivery.walmart.com/97aad2c7-4a8d-41dc-baac-10200fdae7d1.jpeg,acceptable,TRUE,Yes,True Positive,Not a real Human face
6/18/2026,2.00015E+14,4f66fcef-3a24-482f-809c-d13b728068ca,http://images.delivery.walmart.com/2ce3bb77-9f7c-4ac0-807d-ba762154ac7a.jpeg,http://images.delivery.walmart.com/fc79a678-2893-42c1-8686-b7e77405346e.jpeg,unacceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,1085b959-38a9-4637-b3be-4053bb09d595,http://images.delivery.walmart.com/c12801c4-42c2-4476-879c-9a38e122c7fb.jpeg,http://images.delivery.walmart.com/17a6f124-3339-4dd0-8fbb-6d2dc9e4754f.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,6688df99-9f63-4a55-b71e-35a52c307048,http://images.delivery.walmart.com/b41a66c2-4775-46a4-bac0-bd76813a8b71.jpeg,http://images.delivery.walmart.com/f3af7713-f749-47a2-ac50-8cc9b5f652a5.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,18b18514-e4d6-4923-ad0a-8431d7f29b5b,http://images.delivery.walmart.com/115a57b8-f7e2-4d1e-820a-7bb5e6016a0e.jpeg,http://images.delivery.walmart.com/69ea12a4-ad5b-40f0-b66d-eb42bbe3f7e4.jpeg,acceptable,TRUE,Yes,True Positive,
6/18/2026,2.00015E+14,3d60c851-b351-4a6c-8ad5-7092106f49a0,http://images.delivery.walmart.com/4754060b-05ea-44de-8cea-c590bdba905c.jpeg,http://images.delivery.walmart.com/965d13ad-45f5-4c75-99aa-3e5a796c6398.jpeg,acceptable,TRUE,Yes,True Positive,
